alpha,window_scale,timeout,capacity,throughput,queue_delay,signal_delay,url
0.05,1.5,100,5.04,0.26,28,88,http://cs344g.keithw.org/report?bg-1493274848-nohshohj
0.05,2.0,100,5.04,4.38,89,141,http://cs344g.keithw.org/report?bg-1493274991-eeyaishu
0.05,2.5,100,5.04,4.71,130,189,http://cs344g.keithw.org/report?bg-1493275135-ooghaebe
0.1,1.5,100,5.04,0.5,53,92,http://cs344g.keithw.org/report?bg-1493275277-jahyohxi
0.1,2.0,100,5.04,4.21,84,129,http://cs344g.keithw.org/report?bg-1493275420-ajooshoh
0.1,2.5,100,5.04,4.69,130,182,http://cs344g.keithw.org/report?bg-1493275563-iraezaij
0.2,1.5,100,5.04,0.81,40,95,http://cs344g.keithw.org/report?bg-1493275706-heevohch
0.2,2.0,100,5.04,3.95,85,128,http://cs344g.keithw.org/report?bg-1493275848-phucoong
0.2,2.5,100,5.04,4.53,125,178,http://cs344g.keithw.org/report?bg-1493275992-quiesahf
0.3,1.5,100,5.04,1.93,44,102,http://cs344g.keithw.org/report?bg-1493276134-iecaijei
0.3,2.0,100,5.04,4.52,92,134,http://cs344g.keithw.org/report?bg-1493276277-eighoopo
0.3,2.5,100,5.04,4.84,132,187,http://cs344g.keithw.org/report?bg-1493276420-duujoopo
0.5,1.5,100,5.04,2.86,52,98,http://cs344g.keithw.org/report?bg-1493276563-ohsairey
0.5,2.0,100,5.04,4.63,95,142,http://cs344g.keithw.org/report?bg-1493276706-iocahcie
0.5,2.5,100,5.04,4.84,139,192,http://cs344g.keithw.org/report?bg-1493276849-choetiun
0.8,1.5,100,5.04,3.51,53,100,http://cs344g.keithw.org/report?bg-1493276992-deikahde
0.8,2.0,100,5.04,4.62,99,147,http://cs344g.keithw.org/report?bg-1493277135-apahcaey
0.8,2.5,100,5.04,4.76,140,201,http://cs344g.keithw.org/report?bg-1493277278-ohyaengo
0.8,1.25,100,5.04,0.78,47,107,http://cs344g.keithw.org/report?bg-1493278087-yejaewui
0.8,1.25,100,5.04,0.77,50,103,http://cs344g.keithw.org/report?bg-1493278229-aichawei
0.8,1.5,100,5.04,2.45,49,102,http://cs344g.keithw.org/report?bg-1493278377-chugisho
0.8,1.5,100,5.04,2.81,48,102,http://cs344g.keithw.org/report?bg-1493278520-jebiequa
0.9,1.25,100,5.04,0.85,50,106,http://cs344g.keithw.org/report?bg-1493278662-hoongahm
0.9,1.25,100,5.04,0.84,51,108,http://cs344g.keithw.org/report?bg-1493278804-aeveweeg
0.9,1.5,100,5.04,3.18,52,103,http://cs344g.keithw.org/report?bg-1493278947-eiquaego
0.9,1.5,100,5.04,3.46,54,104,http://cs344g.keithw.org/report?bg-1493279089-aethehed
0.95,1.25,100,5.04,1.14,41,98,http://cs344g.keithw.org/report?bg-1493279232-eiraikae
0.95,1.25,100,5.04,0.92,48,104,http://cs344g.keithw.org/report?bg-1493279374-lupooqua
0.95,1.5,100,5.04,2.68,49,105,http://cs344g.keithw.org/report?bg-1493279517-shegahni
0.95,1.5,100,5.04,2.98,51,107,http://cs344g.keithw.org/report?bg-1493279659-ahbijaif
